,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
42,Shallow,86.8902439,23.48827,91.00803,6.8,6.56896425,-22.820161290322577,14.69897356,0.0,865.0,26.9,0.748225806451613,2.577,322.08,142.355,0.186,4.3,0.0,0.0,2.5397,2.6,0.0332397,0.09084828387951807,0.0,0.0167128,21.03,0.0024366,2.74,14.03,0.0014232,135.38669,8.0,0.3719234,13.76681,29.45133663,0.0485488,5.1432,0.0,0.0,2.2047,0.0,2.4878
43,Shallow,75.0,23.43791,90.906,6.6,6.56896425,-22.820161290322577,13.04474323,0.0,975.0,29.0,0.748225806451613,2.523,204.96,248.855,0.31,1.0,1640.9862,0.038597882,30.184,2.6,0.1787963,0.09084828387951807,0.0,0.0331719,9.46,0.5838616,3.66,1.56,0.0333242,222.6789,544.6547,0.1050235,16.19808,34.65255254,0.0265668,42.4568,0.0,0.5369,3.2292,0.0,0.0
44,Shallow,82.31707317,23.41641,90.90534,7.1,6.56896425,-22.820161290322577,12.22314066,0.0,860.0,28.5,0.748225806451613,3.068,190.32,195.605,0.372,4.2,1630.56724,3.741396568,3.3176,10.1006,0.1242913,0.09084828387951807,0.0,0.059576,14.72,0.0030644,11.89,6.28,0.0005634,173.4066,364.7711,0.2817236,12.55969,26.86894482,0.0567851,3.7848,0.0,0.8375,0.0,1.9214,0.0
45,Shallow,30.48780488,23.44384,90.92973,7.1,6.56896425,-22.820161290322577,-49.733772,0.0,2360.0,29.2,0.748225806451613,15.197,453.84,657.815,6.2,6.2,12564.65288,0.0,20.6719,265.0179,0.3658163,0.09084828387951807,0.0,0.067623,44.16,1.657557,27.45,39.59,0.0536494,473.6036,4177.867,0.3423989,14.36117,30.72285098,0.2387526,17.4637,0.0,1.3819,2.9728,0.0,5.0313
46,Shallow,41.15853659,23.4501,90.93681,6.7,6.56896425,-22.820161290322577,1.101906848,0.0,211.0,27.8,0.748225806451613,4.56,102.48,17.75,1.24,0.24,4240.21028,0.0,18.7577,73.5074,0.00285,0.09084828387951807,0.0,0.0846847,14.72,4.00268,6.4,15.43,0.1511785,7.921399,1442.837,0.2335709,15.21788,32.55561068,0.1053835,36.8986,0.0,0.0,3.8239,0.0,0.0
47,Shallow,85.06097561,23.3553,90.94737,7.1,6.56896425,-22.820161290322577,0.334447135,0.0,817.0,28.5,0.748225806451613,4.529,453.84,62.125,1.302,1.2,6044.83544,0.0,24.8259,166.7624,0.0988396,0.09084828387951807,0.0,0.0656083,58.87,3.682893,22.87,50.14,0.2056986,56.87599,2032.749,0.3225502,11.08856,23.72175641,0.2682754,146.0514,0.0,0.5828,5.2147,0.0,6.1024
48,Shallow,19.81707317,23.36534,90.95436,7.1,6.56896425,-22.820161290322577,-8.600683559,0.0,2150.0,28.6,0.748225806451613,6.981,490.44,493.45,2.046,6.2,6437.38508,0.00086296,25.7183,546.7805,0.2782025,0.09084828387951807,0.0,0.0626251,64.13,1.363816,22.87,58.53,0.4059573,360.6401,2159.649,0.400457,5.269214,11.27242951,0.4311157,52.55,0.0,0.8427,1.8359,4.3311,4.17
49,Shallow,27.43902439,23.36831,90.9388,7.0,6.56896425,-22.820161290322577,-15.66630406,0.0,766.0,29.2,0.748225806451613,4.085,417.24,62.125,2.666,1.15,7207.4688,0.0018032,16.8628,221.9941,0.1339014,0.09084828387951807,0.0,0.0583662,49.41,2.906193,22.87,52.25,0.0807643,41.70733,2408.72,0.0931807,12.86575,27.52369898,0.2885304,17.3197,0.0,0.5319,1.2362,0.0,4.0342
50,Shallow,79.26829268,23.38698,90.93124,7.2,6.56896425,-22.820161290322577,11.40520267,0.0,816.0,28.1,0.748225806451613,3.466,219.6,168.98,0.434,1.1,9244.37548,0.03183189,12.7825,51.9738,0.1425083,0.09084828387951807,0.0,0.0318962,13.67,0.1902374,4.12,2.1,0.0118172,183.8133,3132.025,0.0517623,9.594523,20.52556305,0.0259211,26.2968,0.0,0.537,1.0414,2.9696,0.0
51,Shallow,21.34146341,23.39845,90.9269,7.2,6.56896425,-22.820161290322577,-5.678213428,0.0,668.0,29.4,0.748225806451613,7.183,322.08,73.0,1.798,0.5,7039.84612,0.03344073,26.0518,286.2841,0.1517374,0.09084828387951807,0.0,0.028628,21.03,1.356303,11.44,33.55,0.0518749,82.36179,2376.434,0.3585883,10.27886,21.9895652,0.1676383,88.5191,0.0,0.497,2.1455,0.0,2.9254
52,Shallow,83.84146341,23.40297,90.93881,6.5,6.56896425,-22.820161290322577,16.36795657,0.0,612.0,29.6,0.748225806451613,1.784,146.4,155.49,0.062,1.22,655.7816,0.44052601,22.6195,2.6,0.0512576,0.09084828387951807,0.0,0.1060574,36.8,4.484612,5.03,14.79,0.2369128,73.32545,179.6547,0.0406331,19.93636,42.64985495,0.2130938,40.4823,0.0,0.0,1.5718,0.0,0.0
53,Shallow,85.06097561,23.40918,90.94635,6.7,6.56896425,-22.820161290322577,9.780288963,0.0,402.0,28.4,0.748225806451613,2.41,168.36,79.875,0.558,0.27,489.38468,0.0,17.059,2.6,0.0511265,0.09084828387951807,0.0,0.0841371,29.44,1.142676,4.12,10.74,0.0945359,51.11492,134.4411,0.0664254,21.63796,46.29008783,0.1559547,290.682,0.0,0.0,0.5947,0.0,0.0
